Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Defensive Rank,Aliance,Score_ind_comp,Score_ind_piezas,Ranking_Point_Activition,Ranking_Point_Sustanability,Score_team_pieces
33,6647.0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,10,1,2,Red,25,13,1,1,80
34,4276.0,1,0,0,0,0,0,1,12,0,1,1,0,0,0,0,1,1,Blue,28,11,1,1,74
34,359.0,0,0,0,1,0,0,1,12,0,0,0,4,0,2,10,1,3,Blue,57,30,1,1,74
34,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Blue,2,0,1,1,74
34,5199.0,1,0,0,0,0,0,1,0,1,1,4,1,2,0,6,1,2,Blue,44,33,1,1,74
34,3863.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,Red,10,10,0,0,18
34,9282.0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,6,1,2,Red,17,6,0,0,18
34,599.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Red,4,2,0,0,18
35,3647.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,10,1,2,Blue,25,13,1,1,42
35,1138.0,0,0,0,1,0,0,0,12,1,0,1,2,0,0,10,1,2,Blue,47,23,1,1,42
35,1148.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,1,2,Blue,18,6,1,1,42
35,4415.0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,10,1,2,Red,46,34,1,1,62
35,4414.2,1,0,0,0,0,0,1,12,0,2,3,0,0,0,10,1,2,Red,45,18,1,1,62
35,589.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,3,Red,20,10,1,1,62
36,7415.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,2,Blue,15,0,1,1,54
36,973.0,1,0,0,1,0,0,1,12,1,0,1,3,2,0,0,1,2,Blue,57,40,1,1,54
36,2102.0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,10,1,2,Blue,26,14,1,1,54
36,3512.2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1,1,Red,18,3,0,0,19
36,1148.2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,Red,10,5,0,0,19
36,1197.0,1,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,3,Red,22,11,0,0,19
37,9084.0,0,0,1,1,0,0,1,0,2,0,0,3,0,0,0,0,2,Blue,37,34,1,1,56
37,4.0,0,0,0,0,1,0,1,8,0,0,0,0,2,0,10,1,2,Blue,33,10,1,1,56
37,3647.2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,10,1,2,Blue,27,12,1,1,56
37,5887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,Red,6,0,1,1,72
37,359.0,1,0,0,1,0,0,1,12,0,1,0,3,5,1,0,1,2,Red,64,47,1,1,72
37,3512.0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,10,1,2,Red,37,25,1,1,72
38,696.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Blue,2,0,0,0,35
38,4276.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,10,1,2,Blue,23,8,0,0,35
38,5199.0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,10,1,2,Blue,39,27,0,0,35
38,7102.0,1,0,0,0,0,0,1,8,0,0,1,2,0,0,10,1,2,Red,41,18,1,1,47
38,3647.0,0,0,0,1,0,0,1,0,1,0,0,3,1,0,10,0,3,Red,42,29,1,1,47
39,1148.2,0,0,0,0,0,0,1,0,0,0,4,0,0,1,10,1,2,Blue,25,10,1,1,51
39,5124.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1,2,Blue,20,8,1,1,51
39,2659.0,0,0,0,1,0,0,0,12,2,0,1,3,0,0,0,0,2,Blue,45,33,1,1,51
39,6647.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Red,0,0,0,1,60
39,1138.0,0,0,0,1,0,0,0,0,2,0,1,2,2,1,6,0,3,Red,42,36,0,1,60
39,1197.0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,6,1,2,Red,35,24,0,1,60
40,2102.0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,10,1,2,Blue,31,19,1,1,58
