Marca temporal,Scouter,Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Auto Comentarios Extra,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Disconnection Time ,Defensive Rank,TeleOp Comentarios Extras,Aliance
21/10/2023 13:20:04,clarisa,17,4415,0,0,0,0,0,1,No,Nothing,,1,1,1,3,0,1,Engaged,Si,0,3,,Blue
21/10/2023 13:20:15,karla,17,4079,0,0,0,0,0,0,No,Nothing,,1,1,1,0,0,0,Engaged,No,0,3,,Red
21/10/2023 13:30:40,leah,18,4.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,60,2,no hizo nada no se movio ,Blue
21/10/2023 13:30:42,Rebeca,18,2102,0,0,0,0,0,0,No,Nothing,,0,0,1,1,0,0,Engaged,No,5,2,,Blue
21/10/2023 13:30:43,mangie,18,9084,1,0,0,0,0,0,Si,Nothing,,0,1,0,2,0,1,Engaged,Si,0,2,,Red
21/10/2023 13:30:55,sofy,18,4276,0,1,0,0,0,0,No,Nothing,,0,1,5,0,0,0,Nothing,No,7,2,,Red
21/10/2023 13:31:17,clarisa ,18,6017,0,0,0,0,0,1,No,Nothing,,3,0,0,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 13:31:24,karla,18,696.2,1,0,0,0,0,0,Si,Nothing,,1,2,0,0,0,0,Nothing,No,35,2,Como a los 11 segundos de desconectarse se quiso mover de nuevo pero no lo logro ,Red
21/10/2023 13:35:24,leah,19,696,0,0,0,0,0,0,No,Nothing,no vino,0,0,0,0,0,0,Nothing,No,0,1,no vino ,Blue
21/10/2023 13:37:23,Rebeca,19,9282,0,0,0,0,0,0,No,Nothing,,0,0,2,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 13:37:34,mangie,19,1138,0,0,0,0,0,0,Si,Nothing,,2,0,2,3,1,2,Engaged,Si,0,2,,Red
21/10/2023 13:37:45,sofy,19,3128,0,0,0,0,0,0,No,"Docked (Not touching the ground, but not balanced)",,0,0,4,2,0,0,Engaged,Si,0,2,Avento 5 cubos a la community como estrategia,Red
21/10/2023 13:37:59,clarisa,18,6647.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 13:38:20,karla,19,4322,0,0,0,1,0,0,Si,Nothing,,0,0,0,0,0,0,Nothing,No,50,2,El robot comenzo a humear ,Red
21/10/2023 13:46:32,Rebeca,20,3863,0,0,0,0,0,0,No,Nothing,,0,0,0,0,1,1,Engaged,Si,0,2,,Blue
21/10/2023 13:46:34,leah,20,4414.2,0,0,0,0,0,0,Si,Engaged (Balanced),,1,1,5,0,0,0,Engaged,Si,0,3,,Blue
21/10/2023 13:46:37,mangie,20,2659,0,0,0,1,0,0,Si,Engaged (Balanced),,3,0,2,3,0,0,Engaged,Si,0,3,,Red
21/10/2023 13:46:49,sofy,20,3925,0,0,0,0,0,0,No,Nothing,,0,0,1,0,0,0,Nothing,No,63,2,"Muy malo, inestable, lento",Red
21/10/2023 13:46:54,clarisa,20,7415,0,0,0,0,0,0,No,Nothing,,0,0,0,0,2,0,Nothing,No,50,2,,Blue
21/10/2023 13:47:16,karla,20,3647.2,0,0,1,0,0,0,Si,Nothing,,0,0,3,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 13:55:23,mangie,21,8006,0,0,0,0,0,0,Si,Nothing,,1,0,3,4,0,0,Engaged,Si,0,2,,Red
21/10/2023 13:55:25,sofy,21,5887,0,0,0,0,0,0,No,Nothing,,0,2,1,0,1,0,Nothing,No,23,2,,Red
21/10/2023 13:55:27,Rebeca,21,1197,0,0,0,1,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,Si,60,2,,Blue
21/10/2023 13:55:27,leah,21,3128.2,0,0,0,1,0,0,Si,"Docked (Not touching the ground, but not balanced)",,2,1,4,1,0,0,Nothing,Si,0,3,,Blue
21/10/2023 13:55:36,clarisa,21,4414,0,0,0,3,1,0,No,Nothing,,1,1,2,0,1,2,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
21/10/2023 13:55:48,karla,21,5199,0,0,1,0,0,0,Si,Engaged (Balanced),,0,0,3,3,0,0,Nothing,No,0,3,,Red
21/10/2023 14:00:59,mangie,22,6647.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,120,2,No se presentó,Red
21/10/2023 14:03:16,karla,22,973,1,0,0,1,0,0,Si,Engaged (Balanced),,1,1,1,1,2,1,Engaged,No,0,3,,Red
21/10/2023 14:03:39,sofy,22,9084,0,0,1,1,0,0,Si,Nothing,,0,1,1,3,1,0,Engaged,Si,0,2,,Red
21/10/2023 14:03:40,leah,22,3647,0,0,0,1,0,0,No,Nothing,,0,0,0,2,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
21/10/2023 14:04:19,Rebeca,22,7157,0,0,0,0,0,0,No,Nothing,,1,1,0,3,2,0,Nothing,No,0,2,,Blue
21/10/2023 14:04:49,clarisa,22,3759,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
